,Open,High,Low,Close,Volume
2015-01-01 00:00:00+00:00,321.0,321.0,312.6,313.81,3087.4365
2015-01-02 00:00:00+00:00,313.81,317.01,311.96,315.42,3468.2812
2015-01-03 00:00:00+00:00,315.42,316.58,280.0,282.0,21752.719
2015-01-04 00:00:00+00:00,280.0,289.39,255.0,264.0,41441.277
2015-01-05 00:00:00+00:00,264.55,280.0,264.07,276.8,9528.271
2015-01-06 00:00:00+00:00,264.55,280.0,264.07,276.8,0.0
2015-01-07 00:00:00+00:00,264.55,280.0,264.07,276.8,0.0
2015-01-08 00:00:00+00:00,264.55,280.0,264.07,276.8,0.0
2015-01-09 00:00:00+00:00,276.8,305.0,272.45,293.97,9914.25
2015-01-10 00:00:00+00:00,293.89,295.0,271.03,275.59,29448.777
2015-01-11 00:00:00+00:00,275.6,280.94,262.08,266.39,12758.949
2015-01-12 00:00:00+00:00,266.34,272.43,263.54,267.42,10478.25
2015-01-13 00:00:00+00:00,267.1,268.15,216.0,227.0,60556.164
2015-01-14 00:00:00+00:00,227.01,230.89,152.4,171.41,124188.88
2015-01-15 00:00:00+00:00,172.0,233.9,168.5,210.98,83488.414
2015-01-16 00:00:00+00:00,210.69,223.15,198.04,208.03,34723.348
2015-01-17 00:00:00+00:00,208.02,212.84,192.17,199.69,19121.889
2015-01-18 00:00:00+00:00,199.69,222.0,195.02,211.85,18205.18
2015-01-19 00:00:00+00:00,211.85,220.94,207.7,216.34,13037.399
2015-01-20 00:00:00+00:00,216.01,216.81,201.98,210.65,14129.24
2015-01-21 00:00:00+00:00,211.94,228.9,205.0,227.16,23160.656
2015-01-22 00:00:00+00:00,227.75,239.0,226.01,234.08,25405.33
2015-01-23 00:00:00+00:00,234.08,240.0,225.55,233.64,15268.269
2015-01-24 00:00:00+00:00,233.64,249.99,230.03,249.19,13793.776
2015-01-25 00:00:00+00:00,249.33,257.0,241.33,255.31,28760.928
2015-01-26 00:00:00+00:00,254.67,309.9,254.67,274.8,55829.613
2015-01-27 00:00:00+00:00,274.76,278.51,243.1,263.98,21159.826
2015-01-28 00:00:00+00:00,263.97,266.45,225.91,236.07,28092.334
2015-01-29 00:00:00+00:00,236.07,242.18,220.0,235.79,26012.17
2015-01-30 00:00:00+00:00,235.12,244.98,225.52,228.98,20614.838
2015-01-31 00:00:00+00:00,228.96,234.8,215.75,216.9,19208.28
2015-02-01 00:00:00+00:00,218.04,233.0,208.48,226.93,18408.252
2015-02-02 00:00:00+00:00,226.93,241.98,221.79,238.47,15612.795
2015-02-03 00:00:00+00:00,238.38,244.39,223.79,227.99,17499.533
2015-02-04 00:00:00+00:00,227.99,231.0,220.02,227.0,14983.464
2015-02-05 00:00:00+00:00,226.93,229.0,210.43,216.81,12982.786
2015-02-06 00:00:00+00:00,216.46,225.86,210.59,223.37,10951.787
2015-02-07 00:00:00+00:00,223.44,231.14,221.77,228.3,9663.675
2015-02-08 00:00:00+00:00,228.3,232.89,217.28,223.88,13775.01
2015-02-09 00:00:00+00:00,223.92,225.99,215.0,220.9,19473.957
2015-02-10 00:00:00+00:00,220.91,222.0,215.0,220.42,6882.647
2015-02-11 00:00:00+00:00,220.42,223.43,217.99,219.55,10676.293
2015-02-12 00:00:00+00:00,219.57,223.09,218.01,223.0,6964.6064
2015-02-13 00:00:00+00:00,223.02,242.35,221.37,237.0,21412.459
2015-02-14 00:00:00+00:00,237.0,259.31,236.9,256.99,19824.754
2015-02-15 00:00:00+00:00,256.81,267.92,227.75,235.63,29173.271
2015-02-16 00:00:00+00:00,235.61,241.23,229.2,234.7,12394.829
2015-02-17 00:00:00+00:00,234.69,248.78,232.01,244.7,13121.541
2015-02-18 00:00:00+00:00,244.7,247.0,232.01,237.37,12821.911
2015-02-19 00:00:00+00:00,237.37,245.01,235.59,240.59,8704.34
2015-02-20 00:00:00+00:00,240.61,249.32,239.41,245.48,9342.689
2015-02-21 00:00:00+00:00,245.48,247.8,244.0,245.41,2982.212
2015-02-22 00:00:00+00:00,245.41,247.42,232.48,236.5,7751.75
2015-02-23 00:00:00+00:00,236.5,241.0,232.05,239.65,6327.7266
2015-02-24 00:00:00+00:00,239.63,240.97,236.07,239.55,5144.114
2015-02-25 00:00:00+00:00,239.55,240.98,236.0,237.97,3810.5352
2015-02-26 00:00:00+00:00,237.97,238.55,234.01,236.84,5492.008
2015-02-27 00:00:00+00:00,236.84,256.15,236.16,252.78,22012.004
2015-02-28 00:00:00+00:00,252.78,254.56,245.2,253.47,5626.6284
2015-03-01 00:00:00+00:00,253.45,260.25,245.0,258.34,9678.179
2015-03-02 00:00:00+00:00,258.34,277.0,255.61,274.93,18015.26
2015-03-03 00:00:00+00:00,274.93,284.95,265.89,281.0,20977.32
